msk.id,Valerate,Hexanoate,Isobutyrate,Isovalerate,2-Methylbutyrate,5-Aminovalerate,Glycine,Alanine,Proline,Valine,Threonine,Cysteine,Leucine,Isoleucine,Aspartate,Lysine,Glutamate,Methionine,Phenylalanine,Tryptophan,Tyramine,Benzoate,Phenylacetate,Palmitate
DFI.6.13,-0.909089792,-0.689705205,0.616803156,3.309901653,4.206112398,-0.381359423,0.259282567,0.293819756,0.741876801,0.157706985,-0.115714489,-0.281377229,-0.124451457,0.121732767,0.325940616,-0.304571894,-0.048593901,-0.011113651,-0.132019751,-0.024743392,-0.368526471,0.037208826,4.908104052,-0.207688385
MSK.17.2,0.074964046,0.142455825,0.790319578,3.733145481,4.465581277,-0.254410461,0.645400351,0.585006603,0.705657039,0.661535724,-0.37488621,0.311625551,0.635393405,0.577077552,-1.230667398,0.013117887,-0.711774102,0.150253724,0.438941476,-0.60874662,0.030841686,0.385135217,5.213670889,0.422853989
MSK.19.24,0.338139433,0.023548333,0.406894618,2.799401394,3.950330441,0.599371179,0.200935256,0.13254784,0.201578448,-0.156968943,0.660111483,0.483205839,-0.33184047,-0.275209373,1.605795696,-0.074712845,0.80182069,-0.09282717,-0.133130202,0.77827481,-0.679205758,0.370005643,4.693838587,0.360630745
MSK.20.12,-0.957718355,-0.774323928,1.160677991,4.307224606,5.655749025,0.338820361,0.268812151,0.397902128,0.405935193,-0.13070324,1.03165185,0.95313157,-0.380813223,-0.337104237,-0.59157333,0.548951532,1.091360663,0.203850815,-0.203101857,1.482459395,-0.262695936,0.424848124,5.617210429,0.217223787
DFI.6.9,0.979444982,-0.405364603,3.599765881,5.715854843,6.803320961,-0.455830726,-0.194781339,-0.121622709,0.178906992,-0.152066565,-0.71826278,0.089771653,-0.223995594,-0.209094049,-1.971974542,-0.543175011,-0.309194116,-0.269982922,-0.348516613,-0.588609691,-0.251956271,-0.092587472,6.95234967,-0.152999867
MSK.21.23,-0.004289867,0.026796598,1.532077408,5.823040731,6.518898504,0.416068062,1.715147577,0.748202303,1.638614791,0.789521559,0.903580692,0.459325838,0.445011958,0.724086993,0.99864684,0.83898852,1.06751379,0.65248924,1.042640859,1.391858423,-0.362390912,0.205974206,0.841164298,0.181155547
DFI.1.156,0.261769736,0.384766386,4.469352663,7.674291342,8.984252691,1.138475503,1.112273158,1.051713175,2.389477337,0.477162211,0.645081548,-2.843603523,-0.296523425,-0.064567992,1.988848382,-0.360671367,1.583592454,0.767848997,-0.148612423,0.307618237,-0.911870761,1.08488942,9.131837514,0.884465691
DFI.3.53,0.198532212,0.047929793,4.017820025,6.975097478,8.299149227,-0.756229221,1.204194457,0.862685398,2.306072112,0.664342626,0.011553234,-3.481930143,-0.006749879,0.110027125,0.847835145,-0.174445973,0.640772269,0.79533262,0.026561923,-0.083490615,-0.366418727,0.363504641,9.069179325,0.729881287
DFI.9.51,-0.148470588,-0.278132603,3.234365621,5.915296699,6.744603695,0.00020124,0.031713119,0.079831837,0.325520389,-0.114868163,-0.184422721,-0.116480049,-0.256672781,-0.222683209,-0.204476704,-0.362771552,0.147070235,-0.063239383,-0.275129098,-0.193011452,-0.114704133,-0.018432208,6.879012492,-0.179996418
DFI.1.37,2.206387265,1.013384216,1.227654589,4.518125769,5.344472523,-0.471105198,0.73479839,0.697205712,0.912203687,0.873211438,-1.216345758,0.044573418,0.715325171,0.761015209,-1.137853584,-0.042099228,-0.808763619,-0.178262272,0.541355722,-0.751935951,-0.20059649,0.237671574,5.56338671,0.093026962
DFI.2.1,2.196395469,0.710578314,1.320593645,4.958571686,6.10109946,-0.611264466,0.364725391,0.397277512,0.746298573,0.43223978,-0.530522465,0.020978749,0.388913575,0.408590215,-1.009581528,0.054858033,-0.300949484,0.095556175,0.253339416,-0.731109923,-0.079714184,0.448719258,6.129399234,0.341153844
DFI.3.8,1.906880781,0.8243352,1.042057115,4.605510677,5.787379588,-0.252912236,0.640261844,0.554880844,0.968458718,0.642527231,-0.379840104,0.148364593,0.605312383,0.67909331,-0.509131855,0.147915324,-0.028065757,0.244516601,0.470783293,-0.575402541,-0.063156449,0.724555275,6.043152962,0.382760055
DFI.4.160,0.29355535,0.335783327,0.95399765,3.83274043,5.006920506,-0.489157342,0.790601444,0.593903564,1.038814648,0.742810436,-0.116488001,0.256483445,0.736147655,0.752009364,-0.497756306,0.316984859,0.111301752,0.238974858,0.612999075,-0.302720355,0.026588318,0.405312483,5.184483632,0.340401572
